id;Lauseet;Kategoria
3-12394959;Sitten yksi sotilaista kehotti toista “lopettamaan hänet”, jonka jälkeen miestä ammuttiin päähän.;Ei_tarkistettavissa_oleva_väite
3-12394959;Amnestyn haastatteleman todistajan mukaan mies ei kuollut heti, vaan vasta aamuyöllä.;Muu
3-12394959;Naapurissa asuva henkilö on vahvistanut Amnestylle sotilaiden tunkeutuneen taloon ja nähneensä ammutun miehen ruumiin makaamassa pannuhuoneen nurkassa.;Muu
3-12394959;Idässä tullaan näkemään sodan suurimmat taistelut;Ennuste
3-12394959;Ruotsin maanpuolustuskorkeakoulun sotatieteen dosentin Ilmari Käihkön mukaan Venäjä on nyt muuttanut strategiaansa.;Muu
3-12394959;– Joukkoja keskitetään itään ja nyt keskitytään Donbassin alueeseen.;Muu
3-12394959;Strategia ja retoriikka ovat muuttuneet.;Muu
3-12394959;Venäjällä puhutaan nyt sotilasoperaation sijaan “Donbassin puolustuksesta”.;Muu
3-12394959;Käihkö uskoo, että idässä tullaan näkemään sodan suurimmat taistelut.;Henkilökohtainen_kokemus
3-12394959;Ukraina ja Venäjä keskittävät nyt joukkojaan sinne.;Muu
3-12394959;Käihkön mukaan ukrainalaisten vastarinta kovenee entisestään eikä Butšan jälkeen ole mitään mahdollisuutta myönnytyksiin.;Muu
3-12394959;– Nyt on nähty, mikä hinta on maksettu.;Henkilökohtainen_kokemus
3-12394959;Jos rauhansopimus menee kansanäänestykseen, kuten Zelenskyi on sanonut, on todella vaikea nähdä muuta vaihtoehtoa rauhalle, kuin se, että Venäjä perääntyy täysin.;Henkilökohtainen_kokemus
3-11407709;Kotiteollisuus-yhtye sai 70 000 euroa korona-avustusta – myös Nuijamies ja Imatran kaupunkikeskustat saivat tukea;Määrä
3-11407709;Eteläkarjalaiset kulttuurin toimijat ovat saaneet tiede- ja kulttuuriministeriöltä tukea koronavirustilanteesta selviämiseen.;Korrelaatio/kaussatio
3-11407709;Eteläkarjalaisille kulttuurin ja taiteen tekijöille on [myönnetty rahaa](https://minedu.fi/documents/1410845/22108576/Korona-avustukset%2Byhteis%C3%B6ille%2BWWW.pdf/96004b58-23ce-82c7-a58c-52ea87d01563/Korona-avustukset%2Byhteis%C3%B6ille%2BWWW.pdf) koronapandemiasta selviämiseen.;Korrelaatio/kaussatio
3-11407709;Etelä-Karjalan suurimman summan eli 70 000 euroa tiede- ja kulttuuriministeri Hanna Kosonen antoi lappeenrantalaiselle Kotiteollisuus-yhtyeelle.;Määrä
3-11407709;Vajaat 40 000 euroa myönnettiin Imatran kaupunkikeskustat-yhdistykselle ja Lappeenrannan kulttuuritila Nuijamiehelle.;Määrä
3-11407709;Kotkaniemi-säätiö sai 10 000 euroa.;Määrä
3-11407709;Kaikkiaan suomalaisille kulttuurin toimijoille myönnettiin lähes 11 miljoonaa euroa maaliskuun puolivälin ja toukokuun lopun välisenä aikana koronaviruksen vuoksi syntyneiden talousongelmien lieventämiseen.;Määrä
3-12015343;Parainen varoittaa yökerhoaltistumisista;Muu
3-12015343;Paraisilla sijaitsevassa yökerho Frendissä on tapahtunut mahdollisia koronavirusaltistumisia.;Muu
3-12015343;Useampi seurue on liikkunut muissakin paikoissa, joten altistumisia on voinut tapahtua myös muualla.;Muu
3-12015343;Paraisilla sijaitsevassa yökerho Frendissä on tapahtunut mahdollisia koronavirusaltistumisia viime viikonloppuna 3. ja 4. heinäkuuta.;Muu
3-12015343;Paraisten tartuntatautiyksikön tiedotteen mukaan moni seurue on liikkunut muissakin paikoissa, joten altistumisia on voinut tapahtua myös muualla.;Muu
3-12015343;Paraisten terveydenhuolto kehottaa kaikkia tarkkailemaan vointiaan.;Muu
3-12015343;Pienistäkin oireista tulisi hakeutua koronatestiin.;Lait/toimintasäännot
3-12015343;Paraisten terveydenhuollon puhelinlinjat ovat ajoittain ruuhkautuneet.;Muu
3-12015343;Kaupunki suosittelee verkon Omaolo-palvelun käyttöä.;Lait/toimintasäännot
3-11939848;Pitääkö asuntovelallisen huolestua inflaatiosta?;Ei_tarkistettavissa_oleva_väite
3-11939848;Kokeile‌ ‌laskurilla,‌ ‌miten‌ ‌koronnousu‌ ‌vaikuttaa‌ ‌lainakuluihisi;Ei_tarkistettavissa_oleva_väite
3-11939848;Inflaatio on kiihtynyt, mutta asuntolainakuluissa se ei näy vielä moneen vuoteen, sanovat asiantuntijat.;Ennuste
3-11939848;Mahdollisen korkosuojauksen hintaa se kuitenkin jo nostaa.;Korrelaatio/kaussatio
3-11939848;Asuntolainojen suositut viitekorot eli euriborit ovat olleet pitkään miinuksella, joten lainasta on maksettu vain marginaalia.;Korrelaatio/kaussatio
